300
97165909	67999630	41456717
97165909	67999630	41456717
97165909	67999630	41456717
97165909	67999630	41456717
97165909	67999630	41456717
81987573	39829017	49684260
67095534	77987372	32992342
13668105	85026332	91930232
44847672	 1176332	22912199
46017650	76100627	20615258
62354001	46287307	49220829
85617464	  529736	54437837
85981047	94920206	90208088
89642272	64019179	77627074
 3831457	59357728	83699649
21238044	77879283	18431053
36979302	65591470	69190405
30359378	22038597	24847629
96943117	19102690	75641985
 6591068	21430597	27042520
85878166	38108381	78381408
20168523	78035687	 4694699
95064100	81467712	 2849142
37984869	39948305	69160866
20206972	99543400	43261182
 3494409	52347219	 4643182
85303254	86161224	28035095
97747202	63931515	  202710
52130344	61658636	 2650288
27691142	 2722126	58190174
 8595737	 5154908	86947935
84664944	34080242	14907760
58650156	51358850	 3801187
49709258	24060782	53217659
85132464	43955541	 6451411
54877989	17555739	85651434
61530957	91764063	 8921183
42724757	16907249	88997046
10550144	43779900	83009508
95488713	62961671	66690733
46608722	85854933	90521025
65415427	  336496	57480574
44713030	67284664	74484200
24069431	48895866	  401793
71581825	 3975774	34846377
40366708	72011391	78034846
26943996	89676876	14598702
 3997118	18884957	21565696
35642352	 8022536	10177353
97140803	75767425	60183839
 8033726	48066531	38457290
37538943	81968047	68825974
 4910127	20745436	68275424
19458497	85212996	13938845
24364832	87430408	44603700
79319716	30915681	75987963
16033007	72187976	 7856504
86390085	73374359	33358417
18611021	68533723	40717122
51485925	 2749392	55424108
 5134980	44251999	98854339
49134132	62259850	44498716
49732108	95996416	33152296
86887895	 7400176	59062293
43063671	10824526	96389208
47429574	84869234	93480335
94640228	 2913466	89780952
66049569	49236602	 2886826
92924335	44395892	67600923
93111908	71839675	33239918
34574065	72947579	  971836
43136237	94235735	57943147
93382998	49509219	51930227
55602881	36709198	37414936
97441232	65654152	77543625
76981499	71919123	39684764
34559546	52341365	90084460
96101554	89620042	61965499
76874315	75456667	61337349
44119707	14303401	24788265
 9032049	31846659	83364461
15196256	55013832	28207007
17991940	84628373	 6771356
10636084	41330198	34800449
96575307	 6292451	14223833
67724891	 1762653	56558333
22179733	10817504	21460152
82369453	49605776	28418179
44389257	 6599419	92296979
76143497	66651670	41046088
 7615146	56426060	39250902
53084311	51143846	32430935
54847811	 6160141	15692164
93161842	46798330	19831920
93547311	38173363	86477777
80613510	71851836	17030136
91394654	26167523	 4430446
